NUCLEAR OPTION ; Version 0.30.2 ; Data exported on 19/04/2025 8:58:53 AM
Type ; Name ; Display Name ; Is Turret ? ; Ammo ; WeaponName ; WeaponMass; Mount Mass ; Weapon RCS ; Mount RCS ; Weapon Drag ; Mount Drag ; Weapon Cost ; Mount Empty Cost ; Mount Total Cost
WeaponMount;gun_12.7mm_internal;12.7mm Ammunition;False;500;;0;100;0;0;0;0;0;0;0
WeaponMount;AAM1_double;MMR-S3 [IR] x2;False;2;MMR-S3[IR];100;200;0.01;0.01;0.1;0.12;0.36;0;0.72
WeaponMount;AAM1_double_internal;MMR-S3 [IR] x2;False;2;MMR-S3[IR];100;200;0.01;0;0.1;0;0.36;0;0.72
WeaponMount;AAM1_internalx3;MMR-S3 [IR] x3;False;3;MMR-S3[IR];100;300;0.01;0;0.1;0;0.36;0;1.08
WeaponMount;AAM1_single;MMR-S3 [IR];False;1;MMR-S3[IR];100;100;0.01;0.005;0.1;0.05;0.36;0;0.36
WeaponMount;AAM1_single_internal;MMR-S3 [IR];False;1;MMR-S3[IR];100;100;0.01;0;0.1;0;0.36;0;0.36
WeaponMount;AAM2_double;AAM-29 Scythe [R] x2;False;2;AAM-29 Scythe [R];160;340;0.01;0.01;0.1;0.15;0.89;0;1.78
WeaponMount;AAM2_double_internal;AAM-29 Scythe [R] x2;False;2;AAM-29 Scythe [R];160;340;0.01;0;0.1;0;0.89;0;1.78
WeaponMount;AAM2_single;AAM-29 Scythe [R];False;1;AAM-29 Scythe [R];160;170;0.01;0.005;0.1;0.065;0.89;0;0.89
WeaponMount;AAM2_single_internal;AAM-29 Scythe [R];False;1;AAM-29 Scythe [R];160;170;0.01;0;0.1;0;0.89;0;0.89
WeaponMount;AAM2_triple_internal;AAM-29 Scythe [R] x3;False;3;AAM-29 Scythe [R];160;510;0.01;0;0.1;0;0.89;0;2.67
WeaponMount;AGM1_double;AGM-48 x2;False;2;AGM-48 ;50;120;0.02;0.01;0.1;0.12;0.09;0;0.18
WeaponMount;AGM1_quad;AGM-48 x4;False;4;AGM-48 ;50;240;0.02;0.015;0.1;0.24;0.09;0;0.36
WeaponMount;AGM1_quad_internal;AGM-48 x4;False;4;AGM-48 ;50;240;0.02;0;0.1;0;0.09;0;0.36
WeaponMount;AGM1_single;AGM-48;False;1;AGM-48 ;50;60;0.02;0.005;0.1;0.05;0.09;0;0.09
WeaponMount;AGM_heavy_internal;AGM-68;False;1;AGM-68;250;260;0.05;0;0.1;0;0.12;0;0.12
WeaponMount;AGM_heavy_internalx4;AGM-68 x4;False;4;AGM-68;250;1010;0.05;0;0.1;0;0.12;0;0.48
WeaponMount;AGM_heavy_internalx8;AGM-68 x8;False;8;AGM-68;250;2080;0.05;0;0.1;0;0.12;0;0.96
WeaponMount;AGM_heavy_single;AGM-68;False;1;AGM-68;250;260;0.05;0.025;0.1;0.1;0.12;0;0.12
WeaponMount;AGM_heavy_double;AGM-68 x2;False;2;AGM-68;250;520;0.05;0.05;0.1;0.2;0.12;0;0.24
WeaponMount;ARM1_double;ARAD-116 x2;False;2;ARAD-116;400;840;0.01;0.01;0.1;0.2;0.68;0;1.36
WeaponMount;ARM1_internalx2;ARAD-116 x2;False;2;ARAD-116;400;800;0.01;0;0.1;0;0.68;0;1.36
