NUCLEAR OPTION ; Version 0.30.2 ; Data exported on 19/04/2025 8:58:53 AM
UnitName ; Part ; Mass ; StructuralThreshold ; PierceArmor ; PierceTolerance ; BlastArmor ; BlastTolerance ; FireArmor ; FireTolerance
CI-22 Cricket;COIN;200;0;20;8;70;10;0;4
CI-22 Cricket;propHub;75;0;20;20;60;4;0;2
CI-22 Cricket;cockpit_R;350;0;15;50;70;10;0;2
CI-22 Cricket;cockpit_F;325;0;15;30;70;20;0;2
CI-22 Cricket;nose;50;0;20;5;50;4;0;2
CI-22 Cricket;fuselage;200;0;20;5;30;5;0;2
CI-22 Cricket;pylon_L;100;0;20;5;70;4;0;2
CI-22 Cricket;pylon_R;100;0;20;5;70;4;0;2
CI-22 Cricket;intake;100;0;20;8;60;4;0;2
CI-22 Cricket;wing1_L;100;0;20;5;70;10;0;2
CI-22 Cricket;wing2_L;100;0;20;5;60;4;0;2
CI-22 Cricket;wing3_L;100;0;20;5;50;3;0;2
CI-22 Cricket;wingtip_L;30;0;10;5;30;2;0;2
CI-22 Cricket;aileron_L;50;0;10;4;40;4;0;1
CI-22 Cricket;flap_L;50;0;10;3;40;1;0;1
CI-22 Cricket;nacelle_L;150;0;20;5;70;5;0;2
CI-22 Cricket;tailboom_L;70;0;20;5;70;5;0;2
CI-22 Cricket;vstab1_L;50;0;20;4;60;4;0;2
CI-22 Cricket;rudder_L;30;0;10;4;40;4;0;2
CI-22 Cricket;hstab;50;0;20;5;50;5;0;2
CI-22 Cricket;elevator;30;0;20;6;40;4;0;1
CI-22 Cricket;vstab2_L;30;0;20;1;40;3;0;2
CI-22 Cricket;wing1_R;100;0;20;5;70;10;0;2
CI-22 Cricket;wing2_R;100;0;20;50;60;4;0;2
CI-22 Cricket;wing3_R;100;0;20;5;50;3;0;2
CI-22 Cricket;wingtip_R;30;0;10;5;30;2;0;2
CI-22 Cricket;flap_R;50;0;10;3;40;1;0;1
CI-22 Cricket;aileron_R;50;0;10;4;40;4;0;1
CI-22 Cricket;nacelle_R;150;0;20;5;70;5;0;2
CI-22 Cricket;tailboom_R;70;0;20;5;70;5;0;2
CI-22 Cricket;vstab1_R;50;0;20;4;60;4;0;2
CI-22 Cricket;rudder_R;30;0;10;4;40;4;0;2
CI-22 Cricket;vstab2_R;30;0;20;1;40;3;0;2
T/A-30 Compass;trainer;300;0;30;5;70;3;0;4
T/A-30 Compass;cockpit_R;450;0;50;30;70;5;0;4
T/A-30 Compass;cockpit_F;600;0;50;45;70;7;0;4
T/A-30 Compass;nose;120;0;30;5;40;3;0;4
T/A-30 Compass;wingroot1_L;150;0;30;6;40;4;0;4
T/A-30 Compass;wingroot1_R;150;0;30;6;40;4;0;4
T/A-30 Compass;fuselage_R;150;0;30;5;70;5;0;4
T/A-30 Compass;tail;200;0;30;5;60;3;0;4
T/A-30 Compass;engine_L;300;0;30;5;70;6;0;4
T/A-30 Compass;intake_L;200;0;30;4;60;6;0;4
T/A-30 Compass;nozzle_L;125;0;30;5;70;4;0;4
T/A-30 Compass;hstab_L;50;0;30;5;70;2;0;4
T/A-30 Compass;vstab1_L;100;0;30;5;10;3;0;4
T/A-30 Compass;vstab2_L;50;0;30;5;40;2;0;4
T/A-30 Compass;rudder_L;50;0;30;4;10;2;0;2
T/A-30 Compass;elevator_L;75;0;30;5;60;3;0;2
T/A-30 Compass;wingroot2_L;200;0;30;6;70;4;0;4
T/A-30 Compass;wing1_L;150;0;30;6;70;4;0;4
T/A-30 Compass;wing2_L;150;0;30;5;70;3;0;4
T/A-30 Compass;wingtip_L;50;0;30;3;70;2;0;4
T/A-30 Compass;aileron_L;50;0;30;10;40;2;0;2
T/A-30 Compass;flap_L;50;0;30;10;30;2;0;2
T/A-30 Compass;wingroot2_R;200;0;30;6;70;4;0;4
T/A-30 Compass;wing1_R;150;0;30;6;70;4;0;4
T/A-30 Compass;wing2_R;150;0;30;5;70;3;0;4
T/A-30 Compass;wingtip_R;50;0;30;3;70;2;0;4
T/A-30 Compass;aileron_R;50;0;30;10;40;2;0;2
T/A-30 Compass;flap_R;50;0;30;10;30;2;0;2
T/A-30 Compass;engine_R;300;0;30;5;70;6;0;4
T/A-30 Compass;intake_R;200;0;30;4;60;6;0;4
T/A-30 Compass;nozzle_R;125;0;30;5;70;4;0;4
T/A-30 Compass;hstab_R;50;0;30;5;70;2;0;4
T/A-30 Compass;vstab1_R;100;0;30;5;10;3;0;4
T/A-30 Compass;vstab2_R;50;0;30;5;40;2;0;4
T/A-30 Compass;rudder_R;50;0;30;4;10;2;0;2
T/A-30 Compass;elevator_R;75;0;30;5;60;3;0;2
SAH-46 Chicane;AttackHelo1;2000;0;60;5;80;5;0;3
SAH-46 Chicane;cockpit_R;500;0;120;5;100;5;0;3
SAH-46 Chicane;cockpit_F;400;-100;120;5;100;5;0;3
